Game,Relation,They,Console,Year,Sales
super mario odyssey,BOSS_IN,chain chomp,Switch,2017,0.0
mario party: star rush,BOSS_IN,chain chomp,3DS,2016,0.3
mario party: the top 100,BOSS_IN,chain chomp,3DS,2017,0.0
super mario party,BOSS_IN,chain chomp,Switch,2018,0.0
mario party superstars,BOSS_IN,chain chomp,Switch,2021,0.0
mario party superstars,BOSS_IN,chain chomp,3DS,2017,0.0
super mario party jamboree,BOSS_IN,chain chomp,Switch,2024,0.0
mario party: island tour,BOSS_IN,cheep chomp,3DS,2013,1.92
mario party: island tour,BOSS_IN,cheep chomp,3DS,2014,1.92
new super mario bros.,BOSS_IN,cheep chomp,DS,2006,29.8
mario party 10,BOSS_IN,cheep chomp,WiiU,2015,1.58
new super mario bros. wii,BOSS_IN,cheep chomp,Wii,2009,28.32
super mario party,BOSS_IN,cheep chomp,Switch,2018,0.0
new super mario bros. 2,BOSS_IN,cheep chomp,3DS,2012,9.9
mario party superstars,BOSS_IN,cheep chomp,Switch,2021,0.0
mario party superstars,BOSS_IN,cheep chomp,3DS,2017,0.0
super mario maker 2,BOSS_IN,cheep chomp,Switch,2019,0.0
super mario kart,BOSS_IN,cheep cheep,SNES,1992,8.76
super mario kart,BOSS_IN,cheep cheep,Nintendo,1992,8.76
mario party,BOSS_IN,cheep cheep,N64,1998,2.7
mario kart 64,BOSS_IN,cheep cheep,N64,1996,9.87
mario party 2,BOSS_IN,cheep cheep,N64,1999,2.5
mario kart: super circuit,BOSS_IN,cheep cheep,GBA,2001,5.47
mario party 3,BOSS_IN,cheep cheep,N64,2000,1.91
mario & luigi: paper jam,BOSS_IN,cheep cheep,3DS,2015,0.76
mario & luigi: paper jam,BOSS_IN,cheep cheep,3DS,2016,0.76
super mario land 2: 6 golden coins,BOSS_IN,cheep cheep,GB,1992,11.18
mario kart: double dash!!,BOSS_IN,cheep cheep,GC,2003,13.9
mario party 4,BOSS_IN,cheep cheep,GC,2002,2.47
mario party 5,BOSS_IN,cheep cheep,GC,2003,2.08
super mario sunshine,BOSS_IN,cheep cheep,GC,2002,6.31
mario kart ds,BOSS_IN,cheep cheep,DS,2005,23.21
mario party 6,BOSS_IN,cheep cheep,GC,2004,1.65
new super mario bros.,BOSS_IN,cheep cheep,DS,2006,29.8
mario kart wii,BOSS_IN,cheep cheep,Wii,2008,35.52
mario party advance,BOSS_IN,cheep cheep,GBA,2005,0.98
super mario galaxy,BOSS_IN,cheep cheep,Wii,2007,11.35
mario kart 7,BOSS_IN,cheep cheep,3DS,2011,12.66
mario party 7,BOSS_IN,cheep cheep,GC,2005,1.57
new super mario bros. wii,BOSS_IN,cheep cheep,Wii,2009,28.32
mario kart arcade gp dx,BOSS_IN,cheep cheep,Arcade,2013,0.0
mario kart arcade gp dx,BOSS_IN,cheep cheep,Arcade,2017,0.0
mario kart arcade gp dx,BOSS_IN,cheep cheep,Arcade,2015,0.0
mario party 8,BOSS_IN,cheep cheep,Wii,2007,8.27
super mario galaxy 2,BOSS_IN,cheep cheep,Wii,2010,7.51
mario party ds,BOSS_IN,cheep cheep,DS,2007,8.91
super mario 3d land,BOSS_IN,cheep cheep,3DS,2011,10.81
mario kart tour,BOSS_IN,cheep cheep,Mobile,2019,0.0
mario party 9,BOSS_IN,cheep cheep,Wii,2012,3.13
new super mario bros. 2,BOSS_IN,cheep cheep,3DS,2012,9.9
mario kart live: home circuit,BOSS_IN,cheep cheep,Switch,2020,0.0
